Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
TEMPLE,254,Continuous,13.9682593541,25,TEM,5.13209823531,403561.2353,1428996.2129,Tambaram
TEMPLE,254,Continuous,14.8656851191,25,TEM,5.13209823531,403118.6236,1429086.6319,Tambaram
Small Water Tank,7,Continuous,15.7153254863,25,sintax,359.803654299,403188.6245,1429163.324,Tambaram
TEMPLE,254,Continuous,16.4101131733,25,TEM,86.1320982745,403287.3369,1429175.4693,Tambaram
Culvert,20,Continuous,17.041920106,25,TEM,5.13209823531,403388.941,1429270.2079,Tambaram
TEMPLE,254,Continuous,16.094209707,25,TEM,5.13209823531,403370.101,1429176.9283,Tambaram
TEMPLE,254,BYBLOCK,7.79474585405,25,TEM,5.13209823531,402593.4844,1429093.8392,Tambaram
TEMPLE,254,BYBLOCK,7.94070125306,25,TEM,5.13209823531,402636.3596,1429094.4844,Tambaram
TEMPLE,254,BYBLOCK,9.3862595199,25,GT,350.132098273,402726.6939,1429200.0177,Tambaram
TEMPLE,254,BYBLOCK,9.30728365332,25,GT,79.1320982757,402727.5572,1429193.7391,Tambaram
Bus stop,33,Continuous,10.5668987406,25,bus,359.803654299,402844.4489,1429076.0515,Tambaram
Post Office,14,Continuous,10.5089164588,25,PB,359.803654228,402843.508,1429078.8596,Tambaram
Small Water Tank,7,BYBLOCK,10.9967673815,25,sintax,359.803654299,402866.0276,1429199.36,Tambaram
TEMPLE,254,BYBLOCK,15.8102964651,25,TEM,5.13209823531,403001.6216,1429208.5567,Tambaram
Small Water Tank,7,BYBLOCK,15.257465399,25,sintax,359.803654299,403026.5277,1429292.7521,Tambaram
Small Water Tank,7,BYBLOCK,17.7996885474,25,sintax,359.803654299,403196.83,1429190.7314,Tambaram
TEMPLE,254,Continuous,17.1039011659,25,TEM,5.13209823531,403270.4515,1429206.3064,Tambaram
Small Water Tank,7,BYBLOCK,10.9757737967,25,sintax,359.803654299,402868.488,1429374.9869,Tambaram
WELL,172,BYBLOCK,8.32858272438,25,W,359.803654299,402661.3327,1429881.558,Tambaram
WELL,172,BYBLOCK,8.56351093511,25,W,359.803654299,402817.9122,1429732.9703,Tambaram
TEMPLE,254,BYBLOCK,11.1167307232,25,TEM,349.132098317,402817.3927,1429895.6105,Tambaram
TEMPLE,254,BYBLOCK,7.50183536153,25,TEM,346.132098231,402560.5453,1429958.7342,Tambaram
TEMPLE,254,BYBLOCK,7.50183536153,25,TEM,346.132098231,402553.6225,1429958.6047,Tambaram
WELL,172,BYBLOCK,9.89810311093,25,W,359.803654299,402646.081,1430077.878,Tambaram
